,X-axis,Y-Axis,Z-Axis
0,-52,-169,917
1,-59,-155,896
2,11,-80,1021
3,33,-63,1035
4,28,-81,1021
5,31,-75,1031
6,11,-65,1032
7,37,-86,1025
8,21,-53,997
9,23,-73,1004
10,35,-61,1006
11,15,-75,1026
12,23,-71,1007
13,35,-47,994
14,18,-83,1016
15,23,-56,1018
16,30,-70,1002
17,22,-71,1029
18,39,-68,1025
19,23,-76,1017
20,12,-61,1024
21,28,-60,1029
22,37,-62,1011
23,34,-38,1011
24,4,-81,1023
25,28,-67,1040
26,41,-33,995
27,22,-75,1029
28,36,-69,1011
29,-1,-66,1037
30,32,-74,1023
31,35,-66,1025
32,40,-51,1001
33,35,-50,1036
34,27,-70,999
35,17,-61,1010
36,29,-73,1013
37,25,-54,1034
38,26,-76,1030
39,26,-69,1025
40,25,-67,1021
41,46,-64,1024
42,11,-62,1024
43,38,-49,1005
44,14,-70,1029
45,31,-70,1002
46,20,-76,1014
47,17,-70,1044
48,54,-60,988
49,24,-67,1025
50,45,-57,1007
51,13,-77,1035
52,16,-62,1032
53,36,-73,1004
54,19,-67,1029
55,25,-74,1026
56,25,-50,1042
57,34,-75,1040
58,32,-71,1015
59,30,-57,1019
60,20,-76,1042
61,40,-40,997
62,-1,-84,1029
63,51,-49,1001
64,32,-82,1013
65,32,-66,1015
66,33,-58,1009
67,50,-61,997
68,8,-77,1035
69,48,-53,1036
70,4,-81,1017
71,45,-61,1017
72,10,-77,1040
73,30,-44,1021
74,15,-63,1020
75,13,-77,1039
76,20,-46,1007
77,15,-78,1034
78,21,-64,1020
79,28,-78,1048
80,23,-64,1024
81,29,-62,1039
82,28,-56,1011
83,14,-73,1034
84,26,-70,1003
85,29,-70,1006
86,30,-73,1024
87,52,-58,1019
88,12,-66,1013
89,15,-74,1018
90,34,-49,1012
91,38,-72,1032
92,29,-57,989
93,16,-59,1017
94,34,-76,1023
95,39,-57,1026
96,14,-65,1045
97,33,-63,1011
98,30,-54,1011
99,20,-78,1016
100,27,-63,1016
101,29,-61,996
102,20,-74,1021
103,20,-57,1022
104,22,-91,1029
105,34,-60,1038
106,27,-48,1021
107,39,-81,1011
108,7,-64,1031
109,45,-58,1023
110,13,-72,1035
111,33,-63,1014
112,35,-59,1007
113,7,-79,1016
114,33,-65,1000
115,30,-58,1016
116,30,-66,1011
117,16,-91,1037
118,42,-44,1022
119,21,-73,1024
120,30,-53,1012
121,25,-75,1019
122,20,-54,1013
