,X-axis,Y-Axis,Z-Axis
0,41,-28,1203
1,46,-7,1199
2,19,-17,1079
3,25,-14,1079
4,9,-15,1051
5,24,-31,1066
6,33,-19,1049
7,15,-16,1056
8,38,-24,1048
9,41,-27,1037
10,31,-36,1042
11,31,-31,1037
12,37,-31,1040
13,24,-10,1022
14,13,-34,1031
15,32,-25,1014
16,30,-14,1037
17,30,-34,1026
18,44,-6,1044
19,36,-12,1039
20,17,-23,1048
21,54,-22,1021
22,24,-28,1031
23,39,-24,1014
24,40,-16,1029
25,52,-32,1033
26,44,-48,1033
27,43,-25,1010
28,50,-28,985
29,16,-36,1015
30,55,0,1014
31,40,-33,1026
32,53,-43,1024
33,40,-30,1013
34,48,-25,1004
35,27,-40,1016
36,32,-18,993
37,44,-37,1014
38,40,-26,1002
39,44,-28,994
40,45,-36,981
41,35,-28,1030
42,54,-14,1006
43,41,-32,1011
44,45,-32,1023
45,57,-26,1021
46,38,-33,1005
47,48,-25,1024
48,25,-34,1030
49,52,-14,1008
50,33,-17,1051
51,45,-27,1020
52,48,-20,1033
53,49,-25,1021
54,35,-34,1052
55,35,-30,1070
56,26,-33,1044
57,49,-47,1038
58,47,-39,1045
59,38,-34,1061
60,51,-6,1037
61,20,-41,1077
62,53,-24,1059
63,38,-27,1073
64,42,-42,1091
65,38,-26,1075
66,45,-17,1052
67,30,-40,1113
68,37,-10,1100
69,46,-38,1093
70,35,-26,1103
71,40,-18,1090
72,23,-20,1109
73,5,-25,1113
74,36,-14,1098
75,20,-34,1116
76,32,-21,1129
77,31,-27,1130
78,12,-38,1135
79,19,-34,1160
80,44,-35,1129
81,32,-36,1139
82,38,-8,1148
83,41,-40,1147
84,37,-10,1156
85,64,-38,1157
86,25,-18,1165
87,23,-21,1163
88,31,-28,1156
89,40,-36,1154
90,36,-10,1122
91,15,-33,1148
92,17,-41,1139
93,37,-20,1137
94,16,-45,1133
95,28,-35,1144
96,44,-28,1134
97,30,-14,1124
98,12,-37,1154
99,29,-9,1149
100,37,-21,1143
101,28,-23,1140
102,36,-33,1135
103,25,-23,1133
104,39,-9,1139
105,12,-25,1127
106,31,-16,1113
107,31,-38,1120
108,29,0,1099
109,44,-27,1096
110,20,-45,1124
111,40,-21,1112
112,36,-28,1094
113,20,-25,1105
114,40,-31,1093
115,46,-12,1082
116,34,-21,1098
117,13,-33,1077
118,39,-13,1072
119,20,-17,1075
120,48,-13,1038
121,18,-34,1030
122,47,-27,1048
123,26,-23,1013
124,3,-23,1027
125,36,-5,1015
126,27,-32,1009
127,46,-27,1034
128,34,-28,1015
129,51,-41,1007
130,39,-6,993
131,32,-36,1014
132,34,-16,1022
133,25,-14,1025
134,32,0,992
135,25,-57,1017
136,55,0,987
137,19,-30,1038
138,58,-1,977
139,29,-18,1002
140,30,-18,1001
141,49,1,974
142,38,-29,983
143,52,-24,979
144,53,-31,1002
145,32,-17,995
146,32,-8,987
147,26,-40,984
148,51,-10,999
149,27,-21,990
150,29,-29,992
151,47,-5,1014
152,19,-21,1005
153,49,-3,998
154,43,-31,1032
155,40,-6,1006
156,36,-28,1032
157,54,3,1002
158,32,-31,1040
159,53,-15,1039
160,30,-16,1073
161,37,-22,1056
162,24,-11,1064
163,33,-24,1077
164,42,-4,1070
165,40,-20,1085
166,38,-20,1070
167,31,-28,1100
168,32,-12,1085
169,30,-9,1114
170,25,-10,1073
171,21,-36,1111
172,59,-21,1104
173,54,-7,1103
174,20,-15,1122
175,32,-25,1129
176,41,0,1111
177,21,-38,1147
178,43,-12,1135
179,36,-27,1134
180,25,3,1129
181,18,-11,1155
182,38,8,1157
183,21,-22,1162
184,35,-12,1170
185,5,-17,1176
186,43,-5,1168
187,30,-17,1176
188,20,-14,1165
189,10,-12,1173
190,13,-12,1170
191,20,-16,1173
192,35,-15,1173
193,17,-10,1166
194,23,-9,1153
195,3,-33,1191
196,37,-17,1161
197,22,-27,1164
198,34,-23,1166
199,20,-22,1153
200,17,-39,1167
201,23,-8,1148
202,1,-20,1136
203,22,-19,1130
204,36,-10,1104
205,30,-15,1118
206,11,-24,1100
207,2,-12,1108
208,1,-2,1116
209,13,-14,1089
210,23,-21,1108
211,30,-8,1084
212,-10,-26,1111
213,29,-17,1090
214,11,-12,1086
215,29,-26,1073
216,14,-23,1067
217,18,-14,1057
218,9,-47,1065
219,23,-10,1043
220,15,-46,1043
221,19,-25,1048
222,6,-38,1051
223,9,-16,1018
224,2,-31,1023
225,14,-28,1009
226,23,-33,1024
227,42,-10,1019
228,11,-42,988
229,5,-25,1017
230,20,-33,1008
231,21,-24,982
232,47,-28,985
233,17,-45,1003
234,27,-31,981
235,40,-23,975
236,20,-37,976
237,19,-33,992
238,19,-28,976
239,50,-22,953
240,8,-34,977
241,14,-45,933
242,32,-28,939
243,16,-51,964
244,32,-33,951
245,34,-38,931
246,25,-46,950
247,38,-41,935
248,37,-50,939
249,42,-43,941
250,40,-51,936
251,23,-44,930
252,47,-47,934
253,28,-59,946
254,50,-39,924
255,25,-36,953
256,22,-37,948
257,38,-19,941
258,26,-40,964
259,39,-38,975
260,23,-20,981
261,26,-35,980
262,48,-20,979
263,40,-37,995
264,33,-42,993
265,59,-24,989
266,21,-39,1010
267,25,-25,1011
268,41,-32,1014
269,48,-24,998
270,26,-54,1029
271,35,-22,1019
272,37,-32,1022
273,25,-22,1065
274,35,-38,1046
275,37,-31,1067
276,59,-32,1074
277,53,-26,1043
278,47,-28,1097
279,44,-33,1095
280,53,-23,1082
281,46,-36,1112
282,40,-14,1093
283,40,-32,1127
284,50,-9,1131
285,32,-39,1147
286,45,-12,1142
287,30,-36,1180
288,41,-6,1148
289,35,-19,1188
290,38,-16,1159
291,46,-13,1171
292,47,-7,1170
293,-4,-43,1183
294,61,-18,1150
295,25,-17,1183
296,38,-24,1206
297,47,-25,1186
298,20,-33,1183
299,39,-24,1198
300,31,-23,1196
301,43,-29,1185
302,35,-29,1193
303,34,-24,1197
304,41,-21,1185
305,21,-24,1204
306,41,-38,1196
307,35,-12,1186
308,27,-22,1160
309,31,-18,1198
310,23,-12,1172
311,22,-24,1177
312,20,-12,1175
313,35,-6,1159
314,26,-18,1179
315,40,-14,1155
316,30,-25,1166
317,31,-25,1160
318,18,-23,1145
319,24,-7,1160
320,41,-17,1143
321,26,-20,1137
322,41,-20,1142
323,28,-10,1103
324,31,-20,1125
325,25,-11,1111
326,17,-5,1098
327,18,-28,1084
328,24,-10,1083
329,29,-15,1101
330,7,-37,1108
331,19,2,1085
332,28,-27,1081
333,33,-22,1079
334,22,-17,1062
335,37,-14,1062
336,15,-30,1063
337,37,-7,1052
338,23,-12,1039
339,26,-28,1028
340,51,-8,1031
341,13,-46,1054
342,30,-8,1025
343,26,-14,1031
344,19,-17,1024
345,19,-3,1021
346,34,-12,1045
347,41,-15,1035
348,21,-21,1002
349,38,-6,1002
350,26,-26,1013
351,38,-32,1003
352,40,-22,998
353,32,-30,1000
354,38,-25,978
355,28,-24,1002
356,44,-16,974
357,32,-39,985
358,50,-28,976
359,28,-24,997
360,38,-23,963
361,42,-38,983
362,25,-23,966
363,41,-14,984
364,25,-13,982
365,36,-31,975
366,34,-14,982
367,45,-33,990
368,26,-27,996
369,57,-14,985
370,25,-16,999
371,62,-16,974
372,22,-21,996
373,47,-7,994
374,35,-18,1016
375,49,-26,1009
376,40,-38,1018
377,27,-14,1002
378,43,-23,1022
379,49,-12,1015
380,18,-37,1030
381,41,-6,1013
382,20,-34,1042
383,54,-23,1029
384,40,-31,1054
385,56,-28,1053
386,52,-20,1060
387,36,-23,1074
388,60,-12,1061
389,32,-18,1078
390,41,-20,1065
391,51,-11,1074
392,29,-22,1109
393,47,-10,1073
394,25,-17,1098
395,56,-4,1091
396,20,-24,1114
397,40,-1,1089
