,X-axis,Y-Axis,Z-Axis
0,-47,-126,958
1,-24,-85,897
2,40,-67,1028
3,11,-58,1011
4,37,-54,997
5,27,-78,1007
6,18,-67,1022
7,41,-64,1004
8,27,-58,1030
9,36,-55,1018
10,32,-75,1016
11,33,-56,1017
12,50,-67,1031
13,28,-70,1029
14,28,-90,1032
15,36,-48,1003
16,21,-72,1032
17,26,-61,1062
18,19,-62,1008
19,30,-67,1017
20,5,-83,1025
21,51,-39,1013
22,29,-87,1019
23,41,-68,994
24,27,-55,1023
25,32,-78,1027
26,40,-53,1018
27,37,-60,1005
28,10,-90,1047
29,36,-44,991
30,17,-61,1023
31,31,-88,1013
32,45,-63,1015
33,10,-79,1040
34,39,-62,1020
35,22,-61,1026
36,36,-63,1014
37,17,-64,1000
38,26,-71,1004
39,35,-70,1008
40,14,-44,1011
41,43,-76,1029
42,8,-58,1016
43,19,-67,1022
44,18,-60,1037
45,52,-69,1018
46,13,-82,1035
47,33,-59,1037
48,20,-67,999
49,14,-77,1029
50,52,-62,1032
51,10,-59,1023
52,23,-66,1042
53,34,-77,1020
54,14,-58,1009
55,40,-68,1023
56,21,-84,1016
57,51,-55,1018
58,28,-67,1017
59,44,-70,1007
60,21,-69,1029
61,40,-54,1026
62,33,-70,1021
63,34,-55,1010
64,17,-75,1021
65,23,-69,1026
66,64,-56,1016
67,17,-68,1023
68,32,-61,994
69,4,-73,1022
70,32,-54,1029
71,11,-81,1039
72,41,-50,994
73,2,-88,1056
74,35,-52,1009
75,21,-85,1013
76,35,-48,1027
77,11,-85,1036
78,36,-60,1032
79,23,-66,1035
80,14,-73,1013
81,29,-56,1011
82,17,-67,1034
83,30,-66,1040
84,26,-68,1002
85,29,-81,1036
86,29,-56,1027
87,25,-77,1007
88,22,-64,1023
89,27,-63,1026
90,34,-59,996
91,40,-73,1020
92,31,-55,1020
93,30,-82,1016
94,42,-58,1023
95,48,-52,1022
96,18,-81,1028
97,33,-51,1010
98,26,-76,1009
99,27,-61,1042
100,34,-57,1008
101,22,-72,1033
102,40,-54,994
103,28,-72,1018
104,25,-62,1014
105,16,-61,1007
106,30,-69,1010
107,40,-60,1007
108,20,-67,1017
109,38,-78,1030
110,25,-70,1023
111,16,-72,1024
112,33,-54,996
113,13,-59,1039
114,41,-46,990
115,7,-66,1021
116,30,-62,1017
117,11,-54,1024
118,32,-63,1017
119,21,-58,1031
120,34,-59,997
121,29,-74,1001
122,29,-61,1018
123,8,-62,1007
124,17,-101,1018
125,38,-54,1013
126,26,-78,1026
127,45,-54,1017
128,21,-75,1006
129,23,-67,1027
130,11,-75,1039
131,29,-51,1014
132,36,-61,1026
133,28,-70,1003
134,41,-72,1017
135,30,-64,1020
136,32,-47,996
137,31,-64,1008
138,4,-74,1021
139,27,-56,1029
140,31,-70,1024
141,11,-62,1025
142,38,-73,1016
143,32,-63,1017
144,13,-69,1021
145,41,-63,1015
146,14,-64,992
147,34,-65,1022
148,37,-61,1027
149,31,-66,1025
150,32,-67,1041
151,34,-79,1037
152,28,-70,1029
153,34,-68,1004
154,21,-76,1018
155,30,-71,1015
156,29,-62,1015
157,42,-56,1018
158,29,-68,1040
159,38,-60,1013
160,29,-47,1030
161,16,-84,1018
162,33,-63,1022
163,32,-66,1006
164,42,-73,1023
165,28,-48,1007
166,16,-62,1037
167,24,-60,1007
168,19,-63,1034
169,40,-49,1028
170,30,-59,1023
171,13,-85,1015
172,52,-56,1003
173,25,-81,1024
174,47,-72,988
175,29,-68,1025
176,28,-72,1023
177,33,-61,1035
178,34,-78,1035
179,13,-64,1045
180,44,-60,1023
181,28,-75,1048
182,38,-53,998
183,17,-72,1031
184,35,-55,1021
185,19,-70,1062
186,41,-51,1013
187,29,-66,1013
188,29,-56,1019
189,26,-76,1029
190,37,-61,1019
191,20,-63,1013
192,33,-68,1029
193,20,-70,1029
194,42,-73,1009
195,37,-70,1017
196,19,-71,1027
197,40,-70,1029
198,25,-76,1022
199,51,-64,991
200,15,-59,1016
201,26,-83,1011
202,41,-62,1017
203,22,-64,1002
204,30,-66,1036
205,14,-68,1019
206,42,-61,1012
207,19,-62,1022
208,21,-74,1015
209,31,-59,1029
210,16,-74,1022
211,38,-72,1016
212,30,-73,1049
213,46,-51,1009
214,16,-65,1015
215,32,-62,1023
216,20,-59,1016
217,28,-62,1014
218,25,-62,1012
219,38,-58,1023
220,12,-70,1018
221,25,-58,1028
222,17,-57,1030
223,22,-68,1017
224,14,-61,1027
225,39,-47,1023
226,28,-74,1024
227,31,-69,1000
228,34,-58,1015
229,32,-72,1005
230,29,-75,1004
231,38,-47,1027
232,24,-68,1016
233,39,-69,1019
234,36,-63,1016
235,23,-72,1018
236,20,-68,1020
237,27,-54,1034
238,34,-72,1020
239,15,-70,1034
240,43,-61,1000
241,32,-56,1012
242,18,-64,1043
243,20,-73,1017
244,20,-63,1018
245,26,-88,1025
246,29,-61,1036
247,45,-70,1031
248,17,-52,1024
249,38,-76,1020
250,40,-64,1025
251,19,-73,1016
252,35,-50,1022
253,12,-75,1011
254,47,-51,1009
255,10,-76,1018
256,28,-62,1013
257,15,-72,1028
258,30,-69,1019
259,25,-62,1010
260,30,-70,1004
261,32,-60,1017
262,24,-68,1033
263,24,-69,1007
264,29,-69,1023
265,21,-77,1014
266,35,-55,1033
267,6,-72,1013
268,30,-72,1015
269,35,-74,1037
270,21,-62,1036
271,40,-61,1011
272,30,-66,1005
273,36,-69,1000
274,7,-61,1004
275,37,-66,1020
276,34,-57,1005
277,17,-74,1006
278,32,-63,1018
279,31,-79,1006
280,27,-59,1022
281,19,-69,1031
282,40,-62,1012
283,20,-76,1036
284,41,-54,997
285,25,-82,1037
286,16,-63,1034
287,26,-59,1021
288,31,-67,1030
289,36,-53,1029
290,44,-68,1035
291,32,-57,1027
292,6,-77,1018
293,33,-56,1023
294,16,-59,1016
295,13,-84,1009
296,38,-59,1017
297,34,-79,1020
298,26,-60,1011
299,33,-74,990
300,20,-67,1019
301,18,-49,1022
302,16,-79,1029
303,34,-65,1006
304,12,-90,1020
305,50,-42,987
306,6,-86,1035
307,40,-45,1005
308,21,-67,995
309,24,-61,1017
310,22,-67,1014
311,22,-79,1016
312,37,-82,1013
313,52,-64,997
314,12,-78,1019
315,33,-48,1016
316,34,-78,1018
317,35,-54,1015
318,26,-66,1000
319,22,-75,1016
320,32,-71,997
321,38,-59,1027
322,11,-73,1032
323,35,-45,1020
324,33,-65,1005
325,32,-64,1029
326,32,-60,1045
327,26,-65,1021
328,21,-56,1013
329,20,-72,1030
330,30,-66,991
331,27,-79,999
332,52,-54,1009
333,25,-70,1018
334,24,-74,1009
335,37,-55,1014
336,19,-87,1028
337,45,-58,1007
338,25,-58,1016
339,28,-73,1031
340,41,-44,1019
341,21,-77,1009
342,3,-70,1010
343,17,-57,1013
344,31,-69,1019
345,22,-72,1036
346,51,-47,1013
347,21,-77,1021
348,34,-65,1039
349,19,-65,1046
350,31,-54,997
351,23,-71,1013
352,24,-73,1023
353,17,-58,1026
354,28,-74,1000
355,36,-51,980
356,27,-59,1014
357,23,-69,1029
358,63,-40,985
359,19,-76,1039
360,45,-64,1024
361,37,-65,1015
362,22,-51,1015
363,29,-65,1019
364,14,-74,1029
365,28,-52,1022
366,30,-80,1009
367,37,-62,1030
368,27,-55,1016
369,26,-62,1018
370,20,-80,1028
371,42,-65,1016
372,21,-60,1000
373,42,-63,1011
374,25,-68,1008
375,23,-49,998
376,16,-75,1045
377,7,-67,1048
378,27,-50,1038
379,33,-65,1037
380,6,-73,1049
381,26,-76,1032
382,25,-77,1035
383,17,-62,1031
384,15,-69,1066
385,35,-45,1014
386,19,-78,1030
387,33,-73,1027
388,50,-71,1017
389,23,-55,1047
390,20,-78,1006
391,40,-45,1016
392,13,-71,1042
393,27,-49,1035
394,38,-45,1023
395,23,-62,1031
396,22,-61,1004
397,13,-81,1041
398,37,-59,1055
399,19,-61,1049
400,15,-49,1048
401,38,-76,1018
402,14,-93,1030
403,52,-58,1033
404,11,-74,1026
405,37,-54,1035
406,31,-62,1038
407,30,-62,1004
408,22,-78,1017
409,32,-59,1006
410,31,-61,1053
411,39,-50,1028
412,15,-68,1032
413,35,-49,1018
414,44,-57,1017
415,16,-61,1021
416,10,-71,1024
417,34,-64,1011
418,19,-78,1007
419,25,-71,1003
420,31,-51,1018
421,10,-80,1040
422,43,-63,1021
423,39,-51,1022
424,11,-83,1012
425,40,-45,1022
426,24,-76,1031
427,24,-50,1007
428,13,-80,1045
429,29,-38,1014
430,10,-91,1060
431,28,-61,1022
432,13,-67,1032
433,19,-55,1036
434,28,-61,1025
435,25,-62,1029
436,19,-74,1028
437,36,-46,1018
438,25,-70,1020
439,14,-69,1022
440,26,-52,991
441,24,-85,1003
442,18,-68,1052
443,31,-68,1011
444,16,-78,1038
445,34,-69,1007
446,22,-54,1016
447,25,-73,1032
448,27,-62,1026
449,14,-59,1026
450,10,-82,1006
451,9,-74,1024
452,45,-62,1032
453,17,-60,1037
454,23,-66,1043
455,42,-61,1020
456,46,-71,1046
457,21,-64,1037
458,25,-72,1013
459,33,-56,1010
460,24,-49,1023
461,25,-84,1032
462,30,-83,1036
463,34,-52,1023
464,19,-59,1031
465,16,-68,1023
466,30,-45,1018
467,31,-76,1032
468,34,-62,1037
469,16,-75,1025
470,25,-72,1019
471,41,-65,1007
472,1,-74,1029
473,32,-63,1017
474,30,-58,1010
475,20,-79,1018
476,26,-61,1019
477,19,-61,1024
478,20,-75,1006
479,25,-74,1033
480,22,-65,1007
481,4,-79,1042
482,42,-60,1012
483,16,-79,1015
484,32,-76,1021
485,29,-77,1011
486,16,-81,1024
487,41,-63,992
488,9,-68,1025
489,34,-76,1001
490,21,-79,1026
491,24,-76,1005
492,29,-56,1032
493,59,-54,1015
494,20,-62,1016
495,30,-64,1012
496,10,-67,1019
497,44,-55,997
498,13,-93,1007
499,15,-81,999
500,-38,-118,1020
501,-42,-111,1032
502,-47,-105,1036
503,36,-75,1013
504,38,-46,1032
505,70,-30,1049
506,107,-7,1034
507,103,-13,1023
508,31,-58,1047
509,-23,-62,1030
510,-39,-97,1011
511,-68,-160,1022
512,11,-86,877
513,78,-43,799
514,126,-14,796
515,143,0,844
516,138,6,813
517,71,-41,868
518,61,-66,890
519,1,-107,956
520,-35,-98,1042
521,-43,-120,1084
